,Employed full-time,Employed part-time,Employed full-time (%),Employed part-time (%)
Abbotsbury,44.0,39.0,--,--
New South Wales,41.0,40.0,--,--
Australia,40.0,40.0,--,--
Abbotsford (NSW),41.0,43.0,--,--
Acacia Gardens,38.0,36.0,--,--
Adamstown,37.0,37.0,--,--
Adamstown Heights,42.0,41.0,--,--
Airds,38.0,33.0,--,--
Albion Park,40.0,38.0,--,--
Albion Park Rail,41.0,38.0,--,--
Alexandria,34.0,35.0,--,--
Alfords Point,46.0,40.0,--,--
Allambie Heights,43.0,42.0,--,--
Allawah,39.0,34.0,--,--
Annandale (NSW),39.0,39.0,--,--
Argenton,39.0,35.0,--,--
Arncliffe,39.0,36.0,--,--
Artarmon,37.0,38.0,--,--
Ashbury,44.0,44.0,--,--
Ashfield (NSW),37.0,33.0,--,--
Asquith,44.0,41.0,--,--
Auburn (NSW),36.0,31.0,--,--
Austinmer,46.0,41.0,--,--
Balgowlah,40.0,42.0,--,--
Balgowlah Heights,46.0,45.0,--,--
Balgownie,42.0,40.0,--,--
Balmain,39.0,41.0,--,--
Balmain East,42.0,45.0,--,--
Bangor (NSW),45.0,43.0,--,--
Bankstown,38.0,35.0,--,--
Bar Beach,34.0,38.0,--,--
Barden Ridge,45.0,41.0,--,--
Bardwell Park,43.0,41.0,--,--
Bardwell Valley,44.0,40.0,--,--
Barnsley,38.0,39.0,--,--
Barrack Heights,39.0,40.0,--,--
Bass Hill,40.0,39.0,--,--
Baulkham Hills,41.0,41.0,--,--
Bayview (NSW),47.0,48.0,--,--
Beaconsfield (NSW),38.0,37.0,--,--
Beecroft,47.0,45.0,--,--
Bella Vista,46.0,39.0,--,--
Bellevue Hill,39.0,44.0,--,--
Belrose,44.0,43.0,--,--
Berala,40.0,36.0,--,--
Berowra Heights,44.0,42.0,--,--
Bidwill (NSW),39.0,38.0,--,--
Birchgrove,42.0,46.0,--,--
Birmingham Gardens,35.0,25.0,--,--
Birrong,43.0,35.0,--,--
Blackbutt (NSW),42.0,39.0,--,--
Blackett,40.0,35.0,--,--
Blairmount,42.0,28.0,--,--
Blakehurst,45.0,42.0,--,--
Blue Bay,41.0,46.0,--,--
Bondi,33.0,37.0,--,--
Bondi Beach,33.0,35.0,--,--
Bondi Junction,35.0,38.0,--,--
Bonnet Bay,44.0,46.0,--,--
Bonnyrigg,39.0,37.0,--,--
Booker Bay,41.0,45.0,--,--
Boolaroo,38.0,41.0,--,--
Booragul,41.0,44.0,--,--
Bossley Park,42.0,38.0,--,--
Botany,41.0,39.0,--,--
Broadmeadow,36.0,39.0,--,--
Bronte,39.0,42.0,--,--
Brookvale,37.0,39.0,--,--
Buff Point,43.0,39.0,--,--
Burwood (NSW),37.0,30.0,--,--
Burwood Heights,43.0,44.0,--,--
Cabarita (NSW),47.0,47.0,--,--
Cammeray,38.0,43.0,--,--
Camperdown (NSW),34.0,26.0,--,--
Canterbury (NSW),40.0,37.0,--,--
Cardiff Heights,45.0,38.0,--,--
Caringbah,37.0,40.0,--,--
Carrington (Newcastle - NSW),33.0,32.0,--,--
Carss Park,45.0,45.0,--,--
Castlecrag,47.0,46.0,--,--
Centennial Park (NSW),35.0,39.0,--,--
Chatswood,38.0,38.0,--,--
Cheltenham (NSW),48.0,47.0,--,--
Chippendale,31.0,27.0,--,--
Chiswick,35.0,40.0,--,--
Church Point,48.0,52.0,--,--
Claymore,37.0,34.0,--,--
Coal Point,47.0,49.0,--,--
Coledale,45.0,48.0,--,--
Collaroy (NSW),41.0,42.0,--,--
Concord West,43.0,40.0,--,--
Connells Point,45.0,44.0,--,--
Cooks Hill,33.0,29.0,--,--
Cremorne (NSW),37.0,43.0,--,--
Cremorne Point,41.0,49.0,--,--
Cringila,36.0,38.0,--,--
Croudace Bay,45.0,37.0,--,--
Crows Nest (NSW),35.0,37.0,--,--
Currans Hill,37.0,35.0,--,--
Daceyville,42.0,47.0,--,--
Daleys Point,46.0,53.0,--,--
Darling Point,38.0,55.0,--,--
Darlington (Sydney - NSW),33.0,25.0,--,--
Davistown,42.0,42.0,--,--
Dawes Point,44.0,49.0,--,--
Dean Park,38.0,34.0,--,--
Dolans Bay,46.0,44.0,--,--
Doonside,41.0,37.0,--,--
Double Bay,36.0,47.0,--,--
Dural (Hornsby - NSW),46.0,43.0,--,--
East Gosford,42.0,44.0,--,--
East Lindfield,46.0,46.0,--,--
East Ryde,43.0,43.0,--,--
Edgecliff,34.0,47.0,--,--
Eleebana,47.0,42.0,--,--
Elizabeth Bay,36.0,41.0,--,--
Emerton,42.0,33.0,--,--
Enmore (Marrickville - NSW),36.0,34.0,--,--
Erskineville,35.0,35.0,--,--
Ettalong Beach,43.0,46.0,--,--
Fairlight,38.0,40.0,--,--
Forest Lodge,35.0,31.0,--,--
Glen Alpine,46.0,42.0,--,--
Glendenning,39.0,33.0,--,--
Glenning Valley,43.0,38.0,--,--
Gosford,32.0,35.0,--,--
Green Point (Great Lakes - NSW),49.0,45.0,--,--
Greenwich,42.0,43.0,--,--
Gwynneville,38.0,30.0,--,--
Hamilton (NSW),37.0,36.0,--,--
Hamilton East,48.0,40.0,--,--
Harris Park,32.0,29.0,--,--
Haymarket,31.0,28.0,--,--
Holsworthy,36.0,37.0,--,--
Homebush (NSW),34.0,31.0,--,--
Homebush West,32.0,31.0,--,--
Huntleys Point,54.0,50.0,--,--
Ingleburn,43.0,37.0,--,--
Ingleside,46.0,47.0,--,--
Islington,35.0,34.0,--,--
Jesmond,32.0,27.0,--,--
Kangaroo Point (NSW),44.0,54.0,--,--
Kearns,42.0,32.0,--,--
Keiraville,43.0,29.0,--,--
Kensington (NSW),35.0,27.0,--,--
Kilaben Bay,47.0,44.0,--,--
Killarney Heights,45.0,46.0,--,--
Kincumber South,37.0,57.0,--,--
Kingsford (NSW),38.0,31.0,--,--
Kirribilli,35.0,43.0,--,--
Kogarah,37.0,32.0,--,--
La Perouse,44.0,26.0,--,--
Lakelands (NSW),46.0,37.0,--,--
Lane Cove,40.0,41.0,--,--
Lavender Bay,34.0,36.0,--,--
Lilli Pilli (Sutherland - NSW),48.0,42.0,--,--
Long Point (Campbelltown - NSW),48.0,45.0,--,--
Macquarie Park,34.0,27.0,--,--
McMahons Point,36.0,51.0,--,--
Millers Point,40.0,49.0,--,--
Milsons Point,37.0,48.0,--,--
Minmi,42.0,37.0,--,--
Mount Lewis,36.0,36.0,--,--
New Lambton Heights,47.0,43.0,--,--
Newcastle,34.0,30.0,--,--
Newcastle West,31.0,35.0,--,--
Newtown (NSW),35.0,32.0,--,--
Norah Head,48.0,46.0,--,--
North Lambton,37.0,31.0,--,--
North Sydney,34.0,37.0,--,--
North Wahroonga,46.0,48.0,--,--
North Wollongong,31.0,23.0,--,--
Northwood (NSW),50.0,44.0,--,--
Palm Beach (NSW),49.0,53.0,--,--
Pearl Beach,49.0,55.0,--,--
Phillip Bay,44.0,47.0,--,--
Plumpton (NSW),40.0,34.0,--,--
Point Piper,46.0,55.0,--,--
Potts Point,34.0,34.0,--,--
Pyrmont,33.0,33.0,--,--
Rhodes,31.0,29.0,--,--
Rockdale,35.0,29.0,--,--
Rooty Hill,41.0,36.0,--,--
Rose Bay (NSW),38.0,44.0,--,--
Ruse,40.0,43.0,--,--
Scarborough (NSW),45.0,32.0,--,--
Shortland,36.0,35.0,--,--
Silverwater (Lake Macquarie - NSW),38.0,53.0,--,--
St Leonards (NSW),32.0,33.0,--,--
Strathfield (NSW),39.0,32.0,--,--
Sydney,32.0,28.0,--,--
Tacoma South,46.0,27.0,--,--
The Entrance North,37.0,41.0,--,--
The Hill,32.0,30.0,--,--
Toowoon Bay,49.0,54.0,--,--
Ultimo,31.0,26.0,--,--
Waratah West,36.0,28.0,--,--
Watsons Bay,35.0,44.0,--,--
Waverton,35.0,42.0,--,--
West Gosford,40.0,46.0,--,--
Wiley Park,36.0,32.0,--,--
Wollongong,34.0,28.0,--,--
Woodcroft (NSW),42.0,34.0,--,--
Woollahra,39.0,46.0,--,--
Woolwich,48.0,51.0,--,--
Woronora Heights,47.0,40.0,--,--
