Sydney Areas,Postcode Ranges,min_postcode,max_postcode
Blue Mountains,2572 - 2786,2572,2786
Canterbury /Bankstown,2131 - 2372,2131,2372
Eastern Suburbs,2008 - 2036,2008,2036
Hawkesbury,2081 - 2778,2081,2778
Hills,2120 - 2768,2120,2768
Inner West,2006 - 2372,2006,2372
Liverpool /Fairfield,2163 - 2566,2163,2566
Lower North Shore,2060 - 2111,2060,2111
Macarthur /Camden,2167 - 2574,2167,2574
Northern Beaches,2084 - 2108,2084,2108
Northern Suburbs,2110 - 2126,2110,2126
Parramatta,2115 - 2199,2115,2199
St George,2020 - 2223,2020,2223
Sutherland,2173 - 2565,2173,2565
Sydney City,2000 - 2011,2000,2011
Upper North Shore,2064 - 2580,2064,2580
Western Sydney,2145 - 2770,2145,2770
